永続的識別子,タイトル,著者,出版者,出版日（W3CDTF）,商品番号,歴史的音源ジャンル,公開範囲,権利区分
info:ndljp/pid/8267048,大分縣　鶴崎踊（左衞門・猿丸太夫）,大分郡鶴崎町有志,コロムビア（NHK）,,PR1133,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267049,大分縣　茶山唄・茶摘唄,日田郡上津江村有志,コロムビア（NHK）,,PR1134,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267045,大分縣　田植唄（二種）,玖珠郡飯田村有志,コロムビア（NHK）,,PR1132,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8270659,ラ・クンパルシータ,ニュータンゴアンサンブル,テイチク,,534,器楽（クラシック以外）,インターネット公開,保護期間満了
info:ndljp/pid/8267013,佐賀縣　荒踊（その二）,杵島郡朝日村有志,コロムビア（NHK）,1951-07,PR1101,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267014,佐賀縣　鯨骨切唄・千越祝唄,西松浦郡有田町有志,コロムビア（NHK）,,PR1102,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267015,佐賀縣　ノンノコ節（皿踊）・岸川節,東松浦郡呼子町小川島有志,コロムビア（NHK）,,PR1102,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267010,佐賀縣　米搗唄,藤津郡嬉野町有志,コロムビア（NHK）,1951-07,PR1100,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267011,佐賀縣　祝唄（肥前橫手）・長持唄,藤津郡嬉野町有志,コロムビア（NHK）,1951-07,PR1100,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267012,佐賀縣　荒踊（その一）,杵島郡朝日村有志,コロムビア（NHK）,1951-07,PR1101,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267025,長崎縣　田助ハイヤ節,北松浦郡平戸町有志,コロムビア（NHK）,1951-07,PR1107,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267027,長崎縣　じゃんぐゎら（平戸盆踊）,北松浦郡中野村有志,コロムビア（NHK）,1951-07,PR1108,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/1324426,天津の神兵,児玉　花外[作詞],ビクター,1937-11,J-54179,軍歌,インターネット公開,保護期間満了
info:ndljp/pid/8267050,大分縣　よいやな節（二種）,日田郡上津江村有志,コロムビア（NHK）,,PR1134,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267051,大分縣　鯛の一本釣唄・船曳唄,東國東郡姫島村有志,コロムビア（NHK）,,PR1135,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267052,大分縣　御田植唄,東國東郡安岐町朝來奈多八幡宮氏子連中,コロムビア（NHK）,,PR1135,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3578459,会津磐梯山,福島県民謡,ビクター,1959-02,V-41904,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267066,熊本縣　茶作り唄（茶摘・茶もみ・仕上げ),鹿本郡嶽間村有志,コロムビア（NHK）,1949-07,PR1097,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/1324461,帰還に当たりて同胞に告ぐ（四）,（陸軍大将）松井　石根　閣下,ビクター,1938-05,J-54321,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/1324460,帰還に当たりて同胞に告ぐ（三）,（陸軍大将）松井　石根　閣下,ビクター,1938-05,J-54321,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/1324458,帰還に当たりて同胞に告ぐ（一）,（陸軍大将）松井　石根　閣下,ビクター,1938-05,J-54320,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/1324459,帰還に当たりて同胞に告ぐ（二）,（陸軍大将）松井　石根　閣下,ビクター,1938-05,J-54320,講義、講演、演説,インターネット公開,保護期間満了
info:ndljp/pid/2387924,越天楽（盤渉調）（三）,宮内省楽部,ビクター,1936-10,13488,雅楽,インターネット公開,保護期間満了
info:ndljp/pid/2387926,鉢木（雪）（上）いやとても此身は,世阿弥[作詞],ビクター,1936-12,13495,能楽、狂言、謡曲,インターネット公開,保護期間満了
info:ndljp/pid/2387927,鉢木（雪）（下）桜を見れば春毎に,世阿弥[作詞],ビクター,1936-12,13495,能楽、狂言、謡曲,インターネット公開,保護期間満了
info:ndljp/pid/2387922,越天楽（盤渉調）（一）,宮内省楽部,ビクター,1936-10,13487,雅楽,インターネット公開,保護期間満了
info:ndljp/pid/2387923,越天楽（盤渉調）（二）,宮内省楽部,ビクター,1936-10,13487,雅楽,インターネット公開,保護期間満了
info:ndljp/pid/2914633,選鉱場おけさ,音丸,キングレコード,1957-03,C1435,不明,インターネット公開,保護期間満了
info:ndljp/pid/2914655,軍艦行進曲,鳥山　啓[作詞],キングレコード,1941-08,50013,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/2914654,軍艦行進曲,鳥山　啓[作詞],キングレコード,1938-06,20044,器楽（クラシック以外）,インターネット公開,保護期間満了
info:ndljp/pid/2914656,軍艦行進曲,鳥山　啓[作詞],キングレコード,,21144,器楽（クラシック以外）,インターネット公開,保護期間満了
info:ndljp/pid/3578520,千葉縣　玉前神社神樂（大山祗の神）,長生郡一宮町玉前神社,コロムビア（ＮＨＫ）,1942-09,民-152,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3578518,千葉縣　玉前神社神樂（岩戸少開）,長生郡一宮町,コロムビア（ＮＨＫ）,1942-09,民-151,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3578519,千葉縣　玉前神社神樂（劒の舞）,長生郡一宮町玉前神社,コロムビア（ＮＨＫ）,1942-09,PR587,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3578517,千葉縣　玉前神社神樂（蛭子）,長生郡一宮町,コロムビア（ＮＨＫ）,1942-09,PR586,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8269519,落語：十二ヶ月（一）,笑福亭　枝鶴,オリエント,,3328,落語,インターネット公開,保護期間満了
info:ndljp/pid/8269515,俚謡：茶摘踊り（上）,（宇治検番）芸妓連中,オリエント,,3312,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8269514,落語：十二ヶ月（三）,笑福亭　枝鶴,オリエント,,3329,落語,インターネット公開,保護期間満了
info:ndljp/pid/8269516,俚謡：茶摘踊り（下）,（宇治検番）芸妓連中,オリエント,,3312,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/1324595,芳山楠帯刀歌（一）,元田　永孚[作詞],ビクター,1938-03,J-54271,文学作品の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/1324596,芳山楠帯刀歌（二）,元田　永孚[作詞],ビクター,1938-03,J-54271,文学作品の朗読、解説,インターネット公開,保護期間満了
info:ndljp/pid/8269521,落語：十二ヶ月（四）,笑福亭　枝鶴,オリエント,,3329,落語,インターネット公開,保護期間満了
info:ndljp/pid/8269520,落語：十二ヶ月（二）,笑福亭　枝鶴,オリエント,,3328,落語,インターネット公開,保護期間満了
info:ndljp/pid/2914792,獨唱　サンタ・ルチア,妹尾　幸陽∥譯詞,コロムビア,,B211_1212044,民謡、国民音楽（世界）,インターネット公開,保護期間満了
info:ndljp/pid/2914798,吹奏樂　君か代,辻　順治[指揮],コロムビア,,36294_27244-A,器楽（クラシック以外）,インターネット公開,保護期間満了
info:ndljp/pid/1324526,嗚呼南郷少佐,松島　慶三[作詞],ビクター,1938-08,J-54403,軍歌,インターネット公開,保護期間満了
info:ndljp/pid/3578570,埼玉縣　秩父神社神樂（神しよう・兩國ばやし・鎌倉）,秩父郡秩父町氏子有志,コロムビア（ＮＨＫ）,1942-07,民-175,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3578571,埼玉縣　秩父神社神樂（日待神樂・しようでん）（道化しようでん・岡崎）,秩父郡秩父町秩父神社氏子,コロムビア（ＮＨＫ）,1942-07,PR611,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3578569,埼玉縣　秩父神社神樂（出・神こうら・大内）,秩父郡秩父町氏子有志,コロムビア（ＮＨＫ）,1942-07,PR610,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3578568,埼玉縣　千勝神社獅子舞（歌笛・口歌・トリトンド・岡崎・引込道中）,南埼玉郡鷲宮町　千勝神社獅子組,コロムビア（ＮＨＫ）,1942-10,民-174,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3578562,埼玉縣　鷲宮神社神樂（出端・催馬樂・歌）,南埼玉郡鷲宮町　鷲宮神社氏子有志,コロムビア（ＮＨＫ）,1942-10,PR607/民-172,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3578565,埼玉縣　鷲宮神社神樂（舞がかり三）,南埼玉郡鷲宮町　鷲宮神社氏子有志,コロムビア（ＮＨＫ）,1942-10,民-173,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3578566,埼玉縣　千勝神社獅子舞（道中・庭笛）,南埼玉郡鷲宮町　千勝神社獅子組,コロムビア（ＮＨＫ）,1942-10,PR609/民-174,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3578563,埼玉縣　鷲宮神社神樂（舞がかり一）,南埼玉郡鷲宮町　鷲宮神社氏子有志,コロムビア（ＮＨＫ）,1942-10,民-172,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3578564,埼玉縣　鷲宮神社神樂（舞がかり二）,南埼玉郡鷲宮町　鷲宮神社氏子有志,コロムビア（ＮＨＫ）,1942-10,PR608,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/2914754,山田耕筰名歌曲集　第一輯　獨唱　六騎,北原　白秋[作詞],コロムビア,,B132_2211242,声楽（独唱）,インターネット公開,保護期間満了
info:ndljp/pid/2914753,山田耕筰名歌曲集　第一輯　獨唱　この道,コロムビアオーケストラ,コロムビア,,B132_1211243,声楽（独唱）,インターネット公開,保護期間満了
info:ndljp/pid/2914755,山田耕筰名歌曲集　第一輯　獨唱　曼珠沙華,北原　白秋[作詞],コロムビア,,B131_136030,声楽（独唱）,インターネット公開,保護期間満了
info:ndljp/pid/2914774,歌謠落語　音樂花電車（二）,三遊亭　歌笑,キングレコード,,C554_7646,不明,インターネット公開,保護期間満了
info:ndljp/pid/2914773,歌謠落語　音樂花電車（一）,三遊亭　歌笑,キングレコード,,C554_7645,不明,インターネット公開,保護期間満了
info:ndljp/pid/2914776,獨唱　ヴオルガの船唄,奧山　貞吉[編曲],コロムビア,,100201_2207107,民謡、国民音楽（世界）,インターネット公開,保護期間満了
info:ndljp/pid/2914775,女聲四部合唱　通りやんせ,日本童謡[作詞],コロムビア,,33720_1206828,古謡,インターネット公開,保護期間満了
info:ndljp/pid/2914785,流行歌　大映々画「笑う地球に朝が來る」主題歌　冗談カクテル,川田　晴久[作詞],テイチク,,821_C1772,歌謡曲、流行歌、シャンソン、ジャズソング,インターネット公開,保護期間満了
info:ndljp/pid/2914717,君が代行進曲,吉本　光蔵[作曲],キングレコード,1941-08,50011,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/2914716,君が代行進曲,吉本　光蔵[作曲],キングレコード,1939-02,31020,器楽（クラシック以外）,インターネット公開,保護期間満了
info:ndljp/pid/2914737,新子守唄,淸水　都代三[作詞],コロムビア,,35649_90535-B,不明,インターネット公開,保護期間満了
info:ndljp/pid/8269428,落語：小言幸兵衛（一）,（二代目）三遊亭　遊三,オリエント,,2858,落語,インターネット公開,保護期間満了
info:ndljp/pid/1324245,エジプトの踊り（組曲　第四番）,A.Luigini[作曲],ビクター,1938-12,J-54450,器楽（クラシック音楽）,インターネット公開,保護期間満了
info:ndljp/pid/1324244,エジプトの踊り（組曲　第一番）,A.Luigini[作曲],ビクター,1938-12,J-54450,器楽（クラシック音楽）,インターネット公開,保護期間満了
info:ndljp/pid/8269438,落語：恋病（三）,笑福亭　枝鶴,オリエント,,2875,落語,インターネット公開,保護期間満了
info:ndljp/pid/8269437,落語：恋病（二）,笑福亭　枝鶴,オリエント,,2874,落語,インターネット公開,保護期間満了
info:ndljp/pid/8269439,落語：恋病（四）,笑福亭　枝鶴,オリエント,,2875,落語,インターネット公開,保護期間満了
info:ndljp/pid/8269436,落語：恋病（一）,笑福亭　枝鶴,オリエント,,2874,落語,インターネット公開,保護期間満了
info:ndljp/pid/8269430,落語：小言幸兵衛（二）,（二代目）雄三,オリエント,,2858,落語,インターネット公開,保護期間満了
info:ndljp/pid/1314864,浪花節：大高源吾（三）,吉田　大和之丞（二代目吉田　奈良丸）,コロムビア（戦前）,1930-05,25871,浪曲,インターネット公開,保護期間満了
info:ndljp/pid/1314865,浪花節：大高源吾（四）,吉田　大和之丞（二代目吉田　奈良丸）,コロムビア（戦前）,1930-05,25871,浪曲,インターネット公開,保護期間満了
info:ndljp/pid/1314862,浪花節：大高源吾（一）,吉田　大和之丞（二代目吉田　奈良丸）,コロムビア（戦前）,1930-05,25870,浪曲,インターネット公開,保護期間満了
info:ndljp/pid/1314863,浪花節：大高源吾（二）,吉田　大和之丞（二代目吉田　奈良丸）,コロムビア（戦前）,1930-05,25870,浪曲,インターネット公開,保護期間満了
info:ndljp/pid/1314860,浪花節：赤垣源蔵（徳利の別れ）（二）,吉田　大和之丞（二代目吉田　奈良丸）,コロムビア（戦前）,1930-12,26000,浪曲,インターネット公開,保護期間満了
info:ndljp/pid/1314868,浪花節：赤垣源蔵（徳利の別れ）（四）,吉田　大和之丞（二代目吉田　奈良丸）,コロムビア（戦前）,1930-12,26001,浪曲,インターネット公開,保護期間満了
info:ndljp/pid/1314866,浪花節：赤垣源蔵（徳利の別れ）（一）,吉田　大和之丞（二代目吉田　奈良丸）,コロムビア（戦前）,1930-12,26000,浪曲,インターネット公開,保護期間満了
info:ndljp/pid/1314867,浪花節：赤垣源蔵（徳利の別れ）（三）,吉田　大和之丞（二代目吉田　奈良丸）,コロムビア（戦前）,1930-12,26001,浪曲,インターネット公開,保護期間満了
info:ndljp/pid/1314856,独唱：この道,北原　白秋[作詞],コロムビア（戦前）,1927-10,35005,声楽（独唱）,インターネット公開,保護期間満了
info:ndljp/pid/8269470,落語：祝いヘッつい（一）,桂　春団治,オリエント,,3035,落語,インターネット公開,保護期間満了
info:ndljp/pid/1314842,海ゆかば,大伴　家持[作詞],コロムビア（戦前）,1942,32008,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8269472,落語：祝いヘッつい（三）,桂　春団治,オリエント,,3036,落語,インターネット公開,保護期間満了
info:ndljp/pid/8269471,落語：祝いヘッつい（二）,桂　春団治,オリエント,,3035,落語,インターネット公開,保護期間満了
info:ndljp/pid/8269473,落語：祝いヘッつい（四）,桂　春団治,オリエント,,3036,落語,インターネット公開,保護期間満了
info:ndljp/pid/1314844,君ヶ代,古今和歌集より,コロムビア（戦前）,1942,32008,国歌、祝祭歌,インターネット公開,保護期間満了
info:ndljp/pid/1314830,遍歴の歌,妹尾　幸陽∥訳詞,コロムビア（戦前）,1943,32063,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/1324227,楫枕,橘　遅日庵[作詞],ビクター,1934-03,13359,尺八,インターネット公開,保護期間満了
info:ndljp/pid/1324228,みだれ（上）,八橋　検校[作曲],ビクター,1935-01,13404,邦楽（合奏）,インターネット公開,保護期間満了
info:ndljp/pid/1324229,みだれ（下）,八橋　検校[作曲],ビクター,1935-01,13404,邦楽（合奏）,インターネット公開,保護期間満了
info:ndljp/pid/1324223,千鳥の曲（三）,吉沢　検校[作曲],ビクター,1931-05,13126,尺八,インターネット公開,保護期間満了
info:ndljp/pid/1324224,千鳥の曲（四）,吉沢　検校[作曲],ビクター,1931-05,13126,尺八,インターネット公開,保護期間満了
info:ndljp/pid/1324226,新娘道成寺（鐘ヶ岬）,菊岡　検校[作曲],ビクター,1934-03,13359,尺八,インターネット公開,保護期間満了
info:ndljp/pid/1324221,千鳥の曲（一）,吉沢　検校[作曲],ビクター,1931-05,13125,尺八,インターネット公開,保護期間満了
info:ndljp/pid/1324222,千鳥の曲（二）,吉沢　検校[作曲],ビクター,1931-05,13125,尺八,インターネット公開,保護期間満了
info:ndljp/pid/1324219,鹿の遠音,日本古謡[作曲],ビクター,1929-09,13029,尺八,インターネット公開,保護期間満了
info:ndljp/pid/1314884,義太夫；近頃河原達引　お俊傳兵衛(堀川猿回しの段）(十八）,竹本　津太夫,コロムビア（戦前）,0000,35200,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1314882,義太夫；近頃河原達引　お俊傳兵衛(堀川猿回しの段）(十六）,竹本　津太夫,コロムビア（戦前）,0000,35199,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1314883,義太夫；近頃河原達引　お俊傳兵衛(堀川猿回しの段）(十七）,竹本　津太夫,コロムビア（戦前）,0000,35200,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1314880,義太夫；近頃河原達引　お俊傳兵衛(堀川猿回しの段）(十四）,竹本　津太夫,コロムビア（戦前）,0000,35198,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/3568860,校歌：一橋の歌,銀杏會同人[作詞],コロムビア,1951-08,A1220,学生歌、校歌、寮歌、応援歌,インターネット公開,保護期間満了
info:ndljp/pid/1314881,義太夫；近頃河原達引　お俊傳兵衛(堀川猿回しの段）(十五）,竹本　津太夫,コロムビア（戦前）,0000,35199,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1314875,義太夫；近頃河原達引　お俊傳兵衛(堀川猿回しの段）(九）,竹本　津太夫,コロムビア（戦前）,0000,35196,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1314876,義太夫；近頃河原達引　お俊傳兵衛(堀川猿回しの段）(十）,竹本　津太夫,コロムビア（戦前）,0000,35196,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1314874,義太夫；近頃河原達引　お俊傳兵衛(堀川猿回しの段）(八）,竹本　津太夫,コロムビア（戦前）,0000,35195,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1314871,薩摩琵琶　常陸丸（三）,池辺　義象[作詞],コロムビア（戦前）,0000,25031,琵琶楽,インターネット公開,保護期間満了
info:ndljp/pid/1314872,薩摩琵琶　常陸丸（四）,池辺　義象[作詞],コロムビア（戦前）,0000,25031,琵琶楽,インターネット公開,保護期間満了
info:ndljp/pid/1314879,義太夫；近頃河原達引　お俊傳兵衛(堀川猿回しの段）(十三）,竹本　津太夫,コロムビア（戦前）,0000,35198,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1314877,義太夫；近頃河原達引　お俊傳兵衛(堀川猿回しの段）(十一）,竹本　津太夫,コロムビア（戦前）,0000,35197,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1314878,義太夫；近頃河原達引　お俊傳兵衛(堀川猿回しの段）(十二）,竹本　津太夫,コロムビア（戦前）,0000,35197,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/1314824,かちどき,下總　皖一[作曲],コロムビア（戦前）,1943,32052,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/1314823,轟く歩調,下總　皖一[作曲],コロムビア（戦前）,1943,32051,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/3578276,高砂（上）,宝生　新,キング,1933-02,K212,能楽、狂言、謡曲,インターネット公開,保護期間満了
info:ndljp/pid/3578278,高砂（下）,宝生　新,キング,1933-02,K212,能楽、狂言、謡曲,インターネット公開,保護期間満了
info:ndljp/pid/1314815,国民歌謡：むかしの仲間,木下　杢太郎[作詞],コロムビア（戦前）,1940-03,33693,歌謡曲、流行歌、シャンソン、ジャズソング,インターネット公開,保護期間満了
info:ndljp/pid/1314812,正常歩行行進曲　世紀の行進,弘田　龍太郎[作曲],コロムビア（戦前）,1942,32051,不明,インターネット公開,保護期間満了
info:ndljp/pid/1314808,ピアノ　木の葉集（六）,信時　潔[作曲],コロムビア（戦前）,1941,32045,器楽（クラシック音楽）,インターネット公開,保護期間満了
info:ndljp/pid/1314806,ピアノ　木の葉集（四）,信時　潔[作曲],コロムビア（戦前）,1941,32044,器楽（クラシック音楽）,インターネット公開,保護期間満了
info:ndljp/pid/1314807,ピアノ　木の葉集（五）,信時　潔[作曲],コロムビア（戦前）,1941,32045,器楽（クラシック音楽）,インターネット公開,保護期間満了
info:ndljp/pid/1314804,ピアノ　木の葉集（二）,信時　潔[作曲],コロムビア（戦前）,1941,32043,器楽（クラシック音楽）,インターネット公開,保護期間満了
info:ndljp/pid/1314805,ピアノ　木の葉集（三）,信時　潔[作曲],コロムビア（戦前）,1941,32044,器楽（クラシック音楽）,インターネット公開,保護期間満了
info:ndljp/pid/1314802,浪花節；赤垣源蔵徳利の別れ（三）,吉田　奈良丸（大和之丞）,コロムビア（戦前）,1925-02,25095,浪曲,インターネット公開,保護期間満了
info:ndljp/pid/1314803,浪花節；赤垣源蔵徳利の別れ（四）,吉田　奈良丸（大和之丞）,コロムビア（戦前）,1925-02,25095,浪曲,インターネット公開,保護期間満了
info:ndljp/pid/1314800,浪花節；赤垣源蔵徳利の別れ（一）,吉田　奈良丸（大和之丞）,コロムビア（戦前）,1925-02,25094,浪曲,インターネット公開,保護期間満了
info:ndljp/pid/1314801,浪花節；赤垣源蔵徳利の別れ（二）,吉田　奈良丸（大和之丞）,コロムビア（戦前）,1925-02,25094,浪曲,インターネット公開,保護期間満了
info:ndljp/pid/2914400,児島高徳,齋藤　監物[作詞],キングレコード,1957-09,C1506,舞踊曲（日本）,インターネット公開,保護期間満了
info:ndljp/pid/2914401,九月十三夜／金州城,上杉　謙信[作詞],キングレコード,1957-09,C1506,舞踊曲（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8272981,千恵蔵プロダクション特作映画「雁太郎街道」より：旅は鼻唄,佐藤　惣之助[作詞],ポリドール,,2127,歌謡曲、流行歌、シャンソン、ジャズソング,インターネット公開,保護期間満了
info:ndljp/pid/8272985,義太夫：壺坂さわり,豊竹　呂昇,米コロムビア,,2733,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/2914572,今日も勝ったぞ,佐藤　惣之助[作詞],キングレコード,1943-11,と328,歌謡曲、流行歌、シャンソン、ジャズソング,インターネット公開,保護期間満了
info:ndljp/pid/2914577,西行さん,佐藤　惣之助[作詞],キングレコード,1941-07,,三味線楽（端唄、うた沢、小唄、俗曲）,インターネット公開,保護期間満了
info:ndljp/pid/8272972,松竹映画「浮草物語」より：浮草の唄,佐藤　惣之助[作詞],ポリドール,,2106,歌謡曲、流行歌、シャンソン、ジャズソング,インターネット公開,保護期間満了
info:ndljp/pid/8272973,松竹映画「浮草物語」より：しぐれ旅,佐藤　惣之助[作詞],ポリドール,,2106,歌謡曲、流行歌、シャンソン、ジャズソング,インターネット公開,保護期間満了
info:ndljp/pid/8269324,浄瑠璃：艶姿女舞衣（五）（三勝半七酒屋の段）,豊澤　竹三郎改め猿糸,オリエント,,2567,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/8269323,浄瑠璃：艶姿女舞衣（二）（三勝半七酒屋の段）,豊澤　竹三郎改め猿糸,オリエント,,2565,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/8269325,浄瑠璃：艶姿女舞衣（六）（三勝半七酒屋の段）,豊澤　竹三郎改め猿糸,オリエント,,2567,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/8269322,浄瑠璃：艶姿女舞衣（一）（三勝半七酒屋の段）,豊澤　竹三郎改め猿糸,オリエント,,2565,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/8270358,独唱：あわて床屋,北原　白秋[作詞],コロムビア,1954-06,B382,声楽（独唱）,インターネット公開,保護期間満了
info:ndljp/pid/8269377,筑前琵琶：湖水渡り（二）,豊田　旭穣,オリエント,,2720,琵琶楽,インターネット公開,保護期間満了
info:ndljp/pid/8269376,筑前琵琶：湖水渡り（一）,豊田　旭穣,オリエント,,2720,琵琶楽,インターネット公開,保護期間満了
info:ndljp/pid/8270336,ギター独奏：こま、お手玉,武井　守成[作曲],コロムビア,1950-06,AK95,器楽（クラシック以外）,インターネット公開,保護期間満了
info:ndljp/pid/8270357,独唱：新子守唄,清水　都代三[作詞],コロムビア,1954-06,B382,声楽（独唱）,インターネット公開,保護期間満了
info:ndljp/pid/8270352,独唱：曼珠沙華,北原　白秋[作詞],コロムビア,1952-11,Ｂ270,声楽（独唱）,インターネット公開,保護期間満了
info:ndljp/pid/1324347,大陸ぶし,北原　白秋[作詞],ビクター,1938-08,J-54390,歌謡曲、流行歌、シャンソン、ジャズソング,インターネット公開,保護期間満了
