永続的識別子,タイトル,著者,出版者,出版日（W3CDTF）,商品番号,歴史的音源ジャンル,公開範囲,権利区分
info:ndljp/pid/1324496,ドントぶし,真木　一葉[作詞],ビクター,1938-11,J-54452,歌謡曲、流行歌、シャンソン、ジャズソング,インターネット公開,保護期間満了
info:ndljp/pid/8267003,福岡縣　田植唄・盆踊唄,糸島郡小富士村有志,コロムビア（NHK）,1948-12,PR1089,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/1324474,雨の戦地で,真木　一葉[作詞],ビクター,1938-06,J-54341,歌謡曲、流行歌、シャンソン、ジャズソング,インターネット公開,保護期間満了
info:ndljp/pid/2914673,初午太鼓,佐藤　惣之助[作詞],キングレコード,1937-02,10044,三味線楽（端唄、うた沢、小唄、俗曲）,インターネット公開,保護期間満了
info:ndljp/pid/2914674,初午太鼓,佐藤　惣之助[作詞],キングレコード,1947-02,C170,歌謡曲、流行歌、シャンソン、ジャズソング,インターネット公開,保護期間満了
info:ndljp/pid/2914679,祭花笠,佐藤　惣之助[作詞],キングレコード,1937-07,10130,三味線楽（端唄、うた沢、小唄、俗曲）,インターネット公開,保護期間満了
info:ndljp/pid/8269694,義太夫（さわり集）：壺坂、朝顔日記、先代萩（二）,豊竹　昇之助,オリエント,1929-05,4675,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/8269693,義太夫（さわり集）：壺坂、朝顔日記、先代萩（一）,豊竹　昇之助,オリエント,1929-05,4675,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/8269696,義太夫（さわり集）：壺坂、朝顔日記、先代萩（四）,豊竹　昇之助,オリエント,1929-05,4676,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/8269695,義太夫（さわり集）：壺坂、朝顔日記、先代萩（三）,豊竹　昇之助,オリエント,1929-05,4676,三味線楽（浄瑠璃）,インターネット公開,保護期間満了
info:ndljp/pid/2914680,祭花笠,佐藤　惣之助[作詞],キングレコード,1947-07,C234,三味線楽（端唄、うた沢、小唄、俗曲）,インターネット公開,保護期間満了
info:ndljp/pid/8267046,大分縣　田植唄（二種）,西國東郡河内村有志,コロムビア（NHK）,,PR1132,民謡、国民音楽（日本）,インターネット公開,保護期間満了
info:ndljp/pid/8267047,大分縣　堅田踊（盆踊唄）・山路踊（盆踊唄）,佐伯市堅田町有志,コロムビア（NHK）,,PR1133,民謡、国民音楽（日本）,インターネット公開,保護期間満了
